Site;Dato;Tid;regn;vind;sol og sky;sommerfugler;Fluer;andre
M06;20.07.16;;;;;;;
M07;20.07.16;;;;;;;
M08;20.07.16;;;;;;;
M09;20.07.16;;;;;;;
M10;20.07.16;;;;;;;
M01;21.07.16;;;;;;;
M02;21.07.16;;;;;;;
M03;21.07.16;;;;;;;
M04;21.07.16;;;;;;;
M05;21.07.16;;;;;;;
M06;21.07.16;;;;;;;
M07;21.07.16;;;;;;;
M08;21.07.16;;;;;;;
M09;21.07.16;;;;;;;
M10;21.07.16;;;;;;;
L01;23.07.16;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;23.07.16;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;23.07.16;;;;;;;
L10;23.07.16;;;;;;;
L01;24.07.16;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;24.07.16;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;24.07.16;;;;;;;
L10;24.07.16;;;;;;;
L01;15.08.16;;;;;;;
L02;15.08.16;;;;;;;
L03;15.08.16;;;;;;;
L04;15.08.16;;;;;;;
L05;15.08.16;;;;;;;
L06;15.08.16;;;;;;;
L07;15.08.16;;;;;;;
L08;15.08.16;;;;;;;
L09;15.08.16;;;;;;;
L10;15.08.16;;;;;;;
L01;17.08.16;;;;;;;
L02;17.08.16;;;;;;;
L03;17.08.16;;;;;;;
L04;17.08.16;;;;;;;
L05;17.08.16;;;;;;;
L06;17.08.16;;;;;;;
L07;17.08.16;;;;;;;
L08;17.08.16;;;;;;;
L09;17.08.16;;;;;;;
L10;17.08.16;;;;;;;
L01;23.08.16;;;;;;;
L02;23.08.16;;;;;;;
L03;23.08.16;;;;;;;
L04;23.08.16;;;;;;;
L05;23.08.16;;;;;;;
L06;23.08.16;;;;;;;
L07;23.08.16;;;;;;;
L08;23.08.16;;;;;;;
L09;23.08.16;;;;;;;
L10;23.08.16;;;;;;;
E01;07.07.16;12:10;;1;overskyet_littsol;;2;
E02;07.07.16;12:05;;1;overskyet_littsol;;6;
E03;07.07.16;11:50;;1;overskyet_littsol;;16;
E04;07.07.16;12:20;;1;sol_littsky;;5;
E05;07.07.16;12:30;;1;overskyet_littsol;;6;
E06;07.07.16;12:40;;1;overskyet_littsol;;23;
E07;07.07.16;12:50;;1;overskyet_littsol;;11;
E08;07.07.16;12:55;;1;overskyet_littsol;;13;
E09;07.07.16;11:35;;1;overskyet_littsol;1 bloddrape;37;
E10;07.07.16;11:25;;1;overskyet_littsol;;14;
E01;08.07.16;10:40;;1;overskyet_littsol;;2;
E02;08.07.16;10:50;;1;overskyet_littsol;;7;
E03;08.07.16;11:00;;1;overskyet_littsol;;43;
E04;08.07.16;10:30;;1;overskyet_littsol;;6;
E05;08.07.16;10:20;;1;overskyet_littsol;;4;
E06;08.07.16;10:10;;1;overskyet_littsol;;5;
E07;08.07.16;10:00;;1;overskyet_littsol;;9;
E08;08.07.16;09:45;;1;overskyet_littsol;;4;
E09;08.07.16;09:30;;1;overskyet_littsol;;7;
E10;08.07.16;09:15;;1;overskyet_littsol;;1;
E01;13.07.16;09:45;;1;overskyet;;8;
E02;13.07.16;09:30;;1;overskyet;;3;
E03;13.07.16;10:10;;1;overskyet;;6;
E04;13.07.16;10:00;;1;overskyet;;12;
E05;13.07.16;10:20;;1;overskyet_littsol;;14;
E06;13.07.16;10:40;;1;overskyet_littsol;;51;
E07;13.07.16;10:45;;1;overskyet_littsol;;16;
E08;13.07.16;11:00;;1;overskyet_littsol;;31;
E09;13.07.16;11:10;;1;overskyet;;21;
E10;13.07.16;11:20;;1;overskyet;;25;
E01;14.07.16;11:10;;1;overskyet_littsol;;11;
E02;14.07.16;11:20;;1;overskyet_littsol;;9;
E03;14.07.16;11:30;;1;overskyet_littsol;;9;
E04;14.07.16;13:00;;1;sol_littsky;;19;
E05;14.07.16;13:10;;1;overskyet_littsol;;32;
E06;14.07.16;13:30;;1;overskyet_littsol;;54;
E07;14.07.16;13:35;;1;overskyet_littsol;;38;
E08;14.07.16;10:30;;1;overskyet_littsol;;8;
E09;14.07.16;09:15;;1;overskyet_littsol;;8;
E10;14.07.16;09:10;;1;overskyet_littsol;;8;
E01;15.07.16;13:30;;2;overskyet_littsol;;18;
E02;15.07.16;13:35;;2;overskyet_littsol;;16;
E03;15.07.16;13:40;;2;overskyet_littsol;;44;
E04;15.07.16;13:15;;2;overskyet_littsol;1 bloddrŒpe_1sommerfugl;18;
E05;15.07.16;13:10;;2;overskyet_littsol;;14;
E06;15.07.16;13:05;;2;overskyet_littsol;;36;
E07;15.07.16;13:00;;2;overskyet_littsol;;32;
E08;15.07.16;12:50;;2;overskyet_littsol;;7;
E09;15.07.16;14:30;;2;overskyet_littsol;;24;
E10;15.07.16;14:10;;2;overskyet_littsol;;23;
M01;23.07.16;09:50;;1;overskyet_littsol;;15;
M02;23.07.16;10:10;;1;overskyet_littsol;;8;
M03;23.07.16;12:00;;1;overskyet_littsol;;12;
M04;23.07.16;11:50;;1;overskyet_littsol;;47;
M05;23.07.16;11:40;;1;overskyet_littsol;;19;
M06;23.07.16;11:30;;1;overskyet_littsol;;61;
M07;23.07.16;11:10;;1;overskyet_littsol;;21;
M08;23.07.16;11:00;;1;overskyet_littsol;;27;
M09;23.07.16;10:20;;1;overskyet_littsol;;18;
M10;23.07.16;10:40;;1;overskyet_littsol;;34;
M01;24.07.16;11:45;;1;overskyet_littsol;;39;
M02;24.07.16;12:00;;1;overskyet_littsol;;25;
M03;24.07.16;11:00;;1;overskyet_littsol;;23;
M04;24.07.16;11:30;;1;overskyet_littsol;;44;
M05;24.07.16;11:10;;1;overskyet_littsol;;27;
M06;24.07.16;10:40;;1;overskyet_littsol;;41;
M07;24.07.16;10:20;;1;overskyet_littsol;;17;
M08;24.07.16;10:10;;1;overskyet_littsol;;36;
M09;24.07.16;09:40;;1;overskyet_littsol;;14;
M10;24.07.16;09:50;;1;overskyet_littsol;;43;
M01;15.08.16;14:55;;1;overskyet_littsol;;5;
M02;15.08.16;14:25;;1;overskyet_littsol;;6;
M03;15.08.16;15:30;;2;overskyet_littsol;;1;
M04;15.08.16;16:50;;1;overskyet_littsol;;4;
M05;15.08.16;15:10;;1;overskyet_littsol;;2;
M06;15.08.16;15:20;;1;overskyet_littsol;;2;
M07;15.08.16;16:45;;1;overskyet_littsol;;3;
M08;15.08.16;16:00;;1;overskyet_littsol;;4;
M09;15.08.16;16:30;;1;overskyet_littsol;;0;
M10;15.08.16;16:15;;1;overskyet_littsol;;1;
M01;17.08.16;;;;;;;
M02;17.08.16;14:15;;1;sol;2 sommerfugler;7;
M03;17.08.16;;;;;;;
M04;17.08.16;13:20;;1;sol;3 sommerfugler;9;
M05;17.08.16;12:55;;1;sol;;3;
M06;17.08.16;13:10;;1;sol;;21;
M07;17.08.16;12:00;;1;sol;;2;
M08;17.08.16;11:45;;1;sol;1 sommerfugl;13;
M09;17.08.16;;;;;;;
M10;17.08.16;;;;;;;
M01;23.08.16;14:25;;1;sol;;1;
M02;23.08.16;14:10;;1;sol;;0;
M03;23.08.16;12:50;;1;sol;;0;
M04;23.08.16;13:45;;1;sol;;2;
M05;23.08.16;12:15;;1;sol;;1;
M06;23.08.16;11:30;;1;sol;;8;
M07;23.08.16;10:50;;1;sol;;1;
M08;23.08.16;15:15;;1;overskyet;;4;
M09;23.08.16;15:30;;1;overskyet;;0;
M10;23.08.16;15:20;;1;overskyet;;0;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
